Chromosome	Origin	Start	End	ACS	Strand	Class	Timing	
chrI	ARS102.5	6136	7136	6619	-	6	Late	
chrI	ARS104	30946	31184	31003	+	1	ND	
chrI	ARS105	40716	43300	42059	+	1	Late	
chrI	ARS106	70258	70491	70432	-	5	Early	
chrI	ARS107	124350	124599	124521	-	3	ND	
chrI	ARS108	146703	147690	147536	-	6	Early	
chrI	ARS110	176154	176402	176233	+	6	Early	
chrI	ARS111	214879	215635	215011	-	5	Late	
chrII	ARS201	6123	7127	6572	-	5	Late	
chrII	ARS202	63186	63421	63373	-	3	Early	
chrII	ARS203	93410	93811	93553	+	5	Late	
chrII	ARS206	142868	144016	143692	-	6	Late	
chrII	ARS207	170049	170298	170263	-	3	Late	
chrII	ARS208	237644	237879	237875	-	1	Early	
chrII	ARS209	254890	255136	255081	-	5	Early	
chrII	ARS211	326099	326335	326193	+	1	ND	
chrII	ARS212	378434	379194	379119	+	3	Early	
chrII	ARS214	407831	408064	408041	-	5	Early	
chrII	ARS215	417739	418035	418010	-	3	Late	
chrII	ARS216	486661	486909	486897	-	2	Early	
chrII	ARS217	516805	517805	517285	-	6	Late	
chrII	ARS218	539137	539699	539400	-	6	Late	
chrII	ARS219	591424	591713	591434	+	1	Late	
chrII	ARS219.5	611269	613200	611771	+	6	Early	
chrII	ARS220	622625	622894	622754	+	1	Early	
chrII	ARS221	631934	632246	632018	+	6	Early	
chrII	ARS221.5	675947	676667	676302	+	6	Late	
chrII	ARS222	704250	704521	704339	+	2	Late	
chrII	ARS222.5	707158	708262	707501	-	6	Late	
chrII	ARS224	741512	741802	741781	-	5	Late	
chrII	ARS225	757390	757621	757485	+	3	Late	
chrII	ARS227	773918	774348	774020	-	5	ND	
chrII	ARS228	792116	792340	792216	+	1	Late	
chrII	ARS229	801930	802617	802270	-	6	Early	
chrIII	ARS300	837	1551	1062	-	5	Late	
chrIII	ARS301	11145	11401	11255	+	2	Late	
chrIII	ARS302	11303	14854	11270	+	2	Late	
chrIII	ARS302.1	14574	14849	14699	+	5	Late	
chrIII	ARS303	14870	15213	14699	+	5	Late	
chrIII	ARS320	15213	16274	15296	+	6	Late	
chrIII	ARS304	30199	30657	30441	-	3	Early	
chrIII	ARS305	39158	39706	39591	-	1	Early	
chrIII	ARS306	74457	74677	74523	+	2	Early	
chrIII	ARS307	108775	109291	108972	-	1	Early	
chrIII	ARS308	114314	114933	114613	-	2	Late	
chrIII	ARS309	131978	132322	132042	+	4	Early	
chrIII	ARS310	166494	167340	166657	+	2	Early	
chrIII	ARS313	194256	194505	194307	+	6	Late	
chrIII	ARS314	197369	197601	197555	-	5	Late	
chrIII	ARS315	224807	225053	224858	+	1	Early	
chrIII	ARS316	272844	273088	273027	-	6	ND	
chrIII	ARS317	292524	292826	292596	+	1	Late	
chrIII	ARS318	294396	295027	294878	+	5	Late	
chrIII	ARS319	315346	316232	315816	+	5	Late	
chrIV	ARS400	137	1392	852	-	5	Late	
chrIV	ARS403	15492	15739	15681	-	2	Late	
chrIV	ARS402.5	21265	22262	21745	-	5	Late	
chrIV	ARS404	46181	46237	46222	-	6	ND	
chrIV	ARS405	85945	86177	86124	-	6	Late	
chrIV	ARS405.5	100380	101355	101241	-	2	Late	
chrIV	ARS406	123617	123902	123677	+	2	ND	
chrIV	ARS409	212420	212669	212593	-	4	ND	
chrIV	ARS409.5	235935	236184	236050	-	6	Late	
chrIV	ARS410	253789	254038	253841	+	5	Late	
chrIV	ARS412	316719	317111	316878	+	4	Late	
chrIV	ARS413	329564	329813	329742	-	1	Early	
chrIV	ARS413.5	350835	351804	351162	+	5	Late	
chrIV	ARS414	408070	408312	408132	+	1	Early	
chrIV	ARS416	462430	462700	462597	-	1	Early	
chrIV	ARS417	483846	484091	484036	-	2	Early	
chrIV	ARS417.5	505336	505578	505519	-	5	ND	
chrIV	ARS418	555224	555461	555399	-	2	Early	
chrIV	ARS419	567490	567737	567679	-	6	Late	
chrIV	ARS420	629072	629669	629309	-	5	Late	
chrIV	ARS421	639859	640108	640065	-	1	Late	
chrIV	ARS422	702879	703125	702929	+	6	Late	
chrIV	ARS422.5	748384	748630	748461	+	6	Late	
chrIV	ARS423	753159	753391	753336	-	1	ND	
chrIV	ARS426.5	844597	845593	845128	+	6	Early	
chrIV	ARS428	913780	914029	913862	+	1	Early	
chrIV	ARS429	921682	921930	921742	+	2	Late	
chrIV	ARS430	1016624	1016922	1016850	-	1	Early	
chrIV	ARS430.5	1033069	1034182	1033263	-	6	Late	
chrIV	ARS431	1057828	1058076	1057893	+	1	ND	
chrIV	ARS431.5	1109955	1110196	1110136	-	4	Late	
chrIV	ARS432	1159250	1159499	1159443	-	2	Late	
chrIV	ARS432.5	1165998	1166221	1166175	-	4	Early	
chrIV	ARS433	1240869	1241098	1240924	+	6	Late	
chrIV	ARS434	1276212	1276440	1276272	+	6	Late	
chrIV	ARS435	1302579	1302819	1302759	-	6	ND	
chrIV	ARS440	1404277	1404512	1404327	+	2	Late	
chrIV	ARS441	1447298	1448928	1447487	+	4	Late	
chrIV	ARS442	1461849	1462161	1461904	+	5	ND	
chrIV	ARS446	1486905	1487149	1487095	-	4	Late	
chrIV	ARS447	1502624	1503221	1502772	-	5	Late	
chrIX	ARS905	33335	33803	33468	-	5	Late	
chrIX	ARS907	73803	74220	73953	-	5	ND	
chrIX	ARS908	80058	80557	80373	+	6	Late	
chrIX	ARS909	105821	106048	105966	-	6	Early	
chrIX	ARS911	136094	136335	136287	-	6	ND	
chrIX	ARS911.5	162936	163302	163115	-	6	Late	
chrIX	ARS912	175034	175355	175171	+	6	ND	
chrIX	ARS913	214675	214826	214733	+	2	Early	
chrIX	ARS914	247579	247800	247751	-	5	Early	
chrIX	ARS916	310583	311070	310739	-	3	Late	
chrIX	ARS919	341853	342096	342028	-	4	Early	
chrIX	ARS920	357156	357393	357223	+	2	Early	
chrIX	ARS922	411817	412053	412000	-	5	Early	
chrV	ARS503	6464	7230	6437	-	2	Late	
chrV	ARS504.2	11713	12194	11933	-	6	Late	
chrV	ARS507	59282	59516	59469	-	1	Early	
chrV	ARS508	93977	94218	94056	+	1	Early	
chrV	ARS510	145539	145782	145713	-	6	Early	
chrV	ARS511	173636	173874	173807	-	1	Early	
chrV	ARS512	212381	212630	212455	+	3	ND	
chrV	ARS513.5	276127	276526	276378	+	6	Late	
chrV	ARS513.7	278073	278355	278160	-	6	Late	
chrV	ARS514	287504	287750	287566	+	3	Early	
chrV	ARS514.5	301565	302061	301693	+	6	Early	
chrV	ARS516	353504	353751	353583	+	2	Early	
chrV	ARS517	406747	406949	406902	-	5	ND	
chrV	ARS518	438929	439178	439101	-	3	ND	
chrV	ARS520	498417	499343	498900	+	6	Early	
chrV	ARS521	520767	521025	520952	+	6	Late	
chrV	ARS522	549560	549809	549586	+	6	ND	
chrV	ARS523	569020	570085	569630	+	5	Late	
chrVI	ARS600.1	5435	6155	5479	-	5	Late	
chrVI	ARS600.2	12174	13028	12805	-	5	Late	
chrVI	ARS600.4	19669	20826	20818	-	6	Late	
chrVI	ARS603	68690	68869	68832	+	1	Late	
chrVI	ARS603.1	104456	104695	104557	-	5	Early	
chrVI	ARS603.5	118631	118952	118678	-	5	Early	
chrVI	ARS604	127745	128066	127869	+	6	Early	
chrVI	ARS605	135979	136080	136037	-	2	Early	
chrVI	ARS606	167606	168041	167731	-	5	Early	
chrVI	ARS607	199382	199493	199402	+	2	Early	
chrVI	ARS608	216344	216692	216470	+	2	ND	
chrVI	ARS609	256263	256418	256374	-	5	Late	
chrVII	ARS700.5	17629	18112	17906	-	1	ND	
